609622560972537856||wahjoewebee||Pak @jokowi_do2, mentri nya kok lawan arus??? Coba ditanyain... @pandji @fadjroeL @hansdavidian @ndorokakung http://t.co/uuoweNjGgH||2015-06-13 14:25:19||null
609622393598836737||Angga_3yudha||gue suka dgn kalimat @jokowi_do2 fokuslah jadi CEO negeri ini https://t.co/xCHFIfq3dI||2015-06-13 14:24:39||null
609621768848994304||Aris_2796||RT @terlengkonk: @SID_Official dibungkam krn bicara #BaliTolakReklamasi; gerakan kedigjayaan maritim utk rakyat, bkn perusahaan. @jokowi_do…||2015-06-13 14:22:10||null
609621743976644608||esterfenty||mustinya hukum mati yang nyiksa anak atau perkosa anak,buat hukum baru utk pak presiden kita @jokowi_do2 kasian anak kena kekerasan||2015-06-13 14:22:04||null
609621410852409344||obhedk||@jokowi_do2 @basuki_btp @TMCPoldaMetro ....RI 59 lawan arus??...apa benar ini foto?? http://t.co/gW0xb5kZWI||2015-06-13 14:20:45||null
609621124721172480||mayamrhtyputri||RT @adjisdoaibu: Duuuuuuuh RT @gilangqidra: Dear RI 59, jangan lawan arah kallleee... Cc @jokowi_do2 @TMCPoldaMetro http://t.co/jqvAXGc7D9||2015-06-13 14:19:37||null
609620867149004800||Sandi_T_P||liat singapur stadion, Indonesia ga malu apa ? GBK dari zaman bung Kanrno gitu² aja. ayo pak @jokowi_do2 @basuki_btp bangun dong GBK nya.||2015-06-13 14:18:35||null
609620505029578752||Ade_pratama2||RT @gendovara: Kukira jaman pak SBY aja baliho2 tolak reklamasi akan dihancurkan. Ehhh jaman pak @jokowi_do2 juga terjadi. Gemana nih?||2015-06-13 14:17:09||null
609620424003989504||yuyunrudianto||RT @kurawa: selamat pak @jokowi_do2 atas pernikahan putranya.. tapi gak salah neh hadiahnya masa sutiyoso jadi Ka.BIN. cMon.. kaya gak ada …||2015-06-13 14:16:49||null
609620379405922305||yuyunrudianto||RT @kurawa: sampe sutiyoso disetujui jadi Ka.BIN dengan rangkap jabatan ketum Parpol maka.... good bye Jokowi... 😁 serius pak @jokowi_do2||2015-06-13 14:16:39||null
609620169518792706||MangU5il||Astaga! RT @TM2000back: "KELOMPOK YANG BERPERAN STRATEGIS DALAM TIM PEMENANGAN @jokowi_do2" has been chirpified http://t.co/P39iD4aJhK||2015-06-13 14:15:49||null
