580965895104696320,Pak_JK,RT @setwapres: Kepemimpinan yg kuat & kedisiplinan warganya, ciptakan kota cerdas, kata @Pak_JK di IKCI 2015 http://t.co/xjZLVwWUCh http://…,2015-03-26 12:33:57,null
580964022129836032,Pak_JK,RT @rickmulia: @dickc meeting with @Pak_JK today #awalbaru http://t.co/SnY5F8EEZM,2015-03-26 12:26:31,null
580958329167425536,Pak_JK,Menerima kunjungan CEO @twitter  @dickc di Kantor wapres 26/3 http://t.co/Kad9yF1ud2,2015-03-26 12:03:54,null
580199101163126785,Pak_JK,Membuka acara Harian Kompas; Peluncuran Indeks Kota Cerdas Indonesia 2015, di Jakarta. Selasa 24/3 http://t.co/a4T619Ddv5,2015-03-24 09:46:59,null
579873145089183744,Pak_JK,Bertemu Dubes Singapura menyampaikan belasungkawa atas wafatnya Mr Lee Kuan Yew di Kedubes Singapura http://t.co/NHuylyTIP3,2015-03-23 12:11:45,null
579810218344747009,Pak_JK,2. dibawah PM Lee Kuan Yew Singapore maju pesat dan memberi dampak yg besar ke Asean, pemikirannya selalu memberi inspirasi untuk Asia,2015-03-23 08:01:43,null
579810091437686784,Pak_JK,1. Indonesia sangat berduka atas wafatnya Lee Kuan Yew. Bapak bangsa Singapore dan tokoh besar Asia,,2015-03-23 08:01:12,null
579074038556803072,Pak_JK,Selamat Hari Raya Nyepi,2015-03-21 07:16:24,null
578126124133183488,Pak_JK,RT @setwapres: Statement by Vice President of The Republic of Indonesia at The 3rd #WCDRR http://t.co/1I2VbqWCy4 @Pak_JK,2015-03-18 16:29:43,null
578113133899710464,Pak_JK,😄 http://t.co/hROLjbvyy0,2015-03-18 15:38:06,null
578112438257651712,Pak_JK,Menerima wawancara dgn El Shinta http://t.co/4Ygq6TXfom,2015-03-18 15:35:20,null
578093552770527232,Pak_JK,Wawancara dengan Reuters http://t.co/QXbfTqGsbe,2015-03-18 14:20:18,null
577434676417073152,Pak_JK,Menerima kunjungan kehormatan Chairman Perusahaan Ithocu Yorihiko Kojim http://t.co/gxzmEnu48S http://t.co/PAL6WcX3Qk,2015-03-16 18:42:09,null
577127845320773632,Pak_JK,Innalillahi wainna ilaihi rajiun. Duka cita mendalam atas berpulangnya Zohra Andi Baso. Semoga Husnul Khotimah dan kelg diberi ketabahan.,2015-03-15 22:22:55,null
577063885204635649,Pak_JK,Bertemu dgn Warga Indonesia di Jepang, bertempat di Wisma Indonesia Tokyo 15/3 http://t.co/i06GfbR1vG,2015-03-15 18:08:46,null
577063558585839616,Pak_JK,Mengunjungi Sodegaura Terminal LNG, terbesar dan tertua di Jepang berusia 40 thn dgn reputasi zero accident http://t.co/BDmezvbw1U,2015-03-15 18:07:28,null
576629875395555328,Pak_JK,Third UN World Conference on Disaster Risk Reduction Sendai, Jepang 14/3 http://t.co/Cmua9Vb2UX,2015-03-14 13:24:10,null
576597840207577088,Pak_JK,Bertemu dg Perdana Menteri Turki disela-sela acara Third UN Conference on Disaster Risk Reduction, di Sendai Jepang http://t.co/dt4y6ZsbkJ,2015-03-14 11:16:52,null
576371910432313344,Pak_JK,Mengadakan jumpa pers didampingi Dubes Indonesia untuk Jepang Yusron Ihza Mahendra http://t.co/xjG8uWEvMK http://t.co/63h1YnEqS3,2015-03-13 20:19:06,null
